Item Type,Brand,Age (Years),Condition,Weight (kg),Material Composition,Battery Included,Visible Damage,Screen Condition,Rust Presence,Wiring Condition,Resale Potential,Scrap Price (₹),Estimated Repair Cost (₹),Final Amount Paid (₹)
Microwave,LG,8,Partially Working,10.9,"Plastic, Glass",No,Yes,N/A,No,N/A,High,2080.69,2835,0.0
TV,Panasonic,9,Non-Working,52.6,Plastic,No,No,Minor Scratches,No,Damaged Wires,Medium,11137.63,3356,7781.629999999999
AC,Voltas,8,Non-Working,3.8,"Metal, Plastic",No,No,N/A,No,Slightly Worn,Medium,579.14,289,290.14
Refrigerator,Samsung,6,Partially Working,39.6,"Glass, Plastic, Metal",No,No,N/A,No,N/A,Medium,4948.09,3430,1518.0900000000001
AC,Daikin,14,Scrap,57.2,Plastic,No,Yes,N/A,No,Intact,Low,13881.91,0,13881.91
Laptop,Dell,6,Partially Working,11.0,Plastic,No,No,Missing Parts,No,Intact,Low,3217.87,2429,788.8699999999999
Laptop,HP,11,Scrap,18.2,Plastic,No,Yes,Missing Parts,No,Slightly Worn,Medium,3310.31,0,3310.31
Printer,HP,15,Non-Working,50.6,"Glass, Plastic, Metal",No,Yes,N/A,Yes,Intact,Low,6547.72,135,6412.72
Washing Machine,Samsung,5,Non-Working,9.2,Plastic,No,No,N/A,No,N/A,High,1791.6,2019,0.0
TV,Sony,8,Non-Working,59.3,"Metal, Plastic",No,Yes,Cracked,No,Intact,Medium,10033.8,2435,7598.799999999999
TV,Panasonic,8,Partially Working,5.2,Metal,No,Yes,No Damage,No,Slightly Worn,Low,1300.37,2248,0.0
TV,Sony,4,Scrap,15.1,Plastic,No,Yes,Missing Parts,No,Damaged Wires,High,1804.09,0,1804.09
Refrigerator,Samsung,3,Scrap,46.2,"Glass, Plastic, Metal",No,No,N/A,No,N/A,High,4215.68,0,4215.68
Refrigerator,LG,1,Working,43.8,Metal,No,No,N/A,No,N/A,Low,7434.69,0,7434.69
Printer,HP,5,Working,6.2,"Glass, Plastic, Metal",No,Yes,N/A,Yes,Damaged Wires,High,391.65,0,391.65
TV,LG,15,Scrap,57.0,"Glass, Plastic, Metal",No,Yes,Minor Scratches,No,Damaged Wires,Low,15032.13,0,15032.13
Microwave,Samsung,11,Scrap,1.4,Plastic,No,No,N/A,No,N/A,Medium,338.13,0,338.13
TV,Sony,8,Working,7.7,"Plastic, Glass",No,No,Minor Scratches,No,Slightly Worn,High,515.34,0,515.34
TV,Panasonic,3,Partially Working,13.9,Metal,No,Yes,Missing Parts,Yes,Slightly Worn,High,3796.21,243,3553.21
Mobile,Oppo,12,Non-Working,16.2,"Metal, Plastic",Yes,Yes,No Damage,No,N/A,Medium,2582.75,935,1647.75
Laptop,Acer,12,Partially Working,20.1,"Plastic, Glass",No,No,Missing Parts,No,Slightly Worn,Low,2484.38,1397,1087.38
TV,Samsung,2,Working,35.2,"Glass, Plastic, Metal",No,Yes,No Damage,No,Damaged Wires,Low,3727.83,0,3727.83
Washing Machine,Samsung,7,Working,8.9,Plastic,No,No,N/A,No,N/A,Low,1288.8,0,1288.8
Refrigerator,LG,13,Non-Working,21.6,"Metal, Plastic",No,No,N/A,Yes,N/A,Low,1589.33,3314,0.0
Washing Machine,IFB,3,Non-Working,27.1,Metal,No,Yes,N/A,No,N/A,Low,1707.0,3820,0.0
TV,LG,12,Partially Working,24.2,Plastic,No,No,Missing Parts,No,Intact,High,5145.78,1193,3952.7799999999997
Microwave,Panasonic,10,Non-Working,6.1,Plastic,No,No,N/A,No,N/A,Low,1150.64,3582,0.0
Washing Machine,Samsung,4,Working,10.7,"Metal, Plastic",No,No,N/A,No,N/A,Low,1288.28,0,1288.28
Refrigerator,Godrej,4,Non-Working,32.1,Metal,No,Yes,N/A,No,N/A,Medium,3428.79,2814,614.79
Washing Machine,LG,8,Scrap,40.0,"Metal, Plastic",No,Yes,N/A,Yes,N/A,Medium,2742.59,0,2742.59
Laptop,Acer,10,Scrap,28.0,"Plastic, Glass",No,Yes,Minor Scratches,No,Slightly Worn,Low,6948.47,0,6948.47
AC,Hitachi,2,Partially Working,58.2,"Plastic, Glass",No,Yes,N/A,No,Slightly Worn,Low,12776.35,1536,11240.35
TV,Panasonic,10,Partially Working,26.1,Plastic,No,Yes,No Damage,No,Damaged Wires,Medium,2399.59,1606,793.5900000000001
Washing Machine,Bosch,4,Scrap,6.3,"Plastic, Glass",No,Yes,N/A,No,N/A,Low,1107.04,0,1107.04
AC,Daikin,15,Non-Working,56.7,Metal,No,Yes,N/A,Yes,Damaged Wires,High,14052.36,551,13501.36
Refrigerator,LG,2,Non-Working,21.2,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Low,6343.32,2477,3866.3199999999997
Washing Machine,Bosch,5,Working,34.4,"Plastic, Glass",No,Yes,N/A,No,N/A,Low,6040.66,0,6040.66
AC,Hitachi,13,Partially Working,16.8,Metal,No,Yes,N/A,No,Damaged Wires,Low,4023.18,3802,221.17999999999984
AC,Voltas,9,Non-Working,39.6,"Plastic, Glass",No,No,N/A,No,Intact,High,8370.75,1227,7143.75
Mobile,Oppo,12,Scrap,54.4,Plastic,No,Yes,Minor Scratches,No,N/A,Medium,3747.38,0,3747.38
Washing Machine,IFB,2,Working,58.7,Plastic,No,Yes,N/A,No,N/A,High,12414.17,0,12414.17
AC,LG,5,Non-Working,17.7,"Plastic, Glass",No,Yes,N/A,No,Damaged Wires,High,1271.01,2779,0.0
Microwave,Panasonic,7,Partially Working,40.7,"Metal, Plastic",No,Yes,N/A,Yes,N/A,High,5382.13,3395,1987.13
Mobile,Vivo,8,Partially Working,22.1,"Plastic, Glass",Yes,No,Minor Scratches,No,N/A,Medium,5843.89,870,4973.89
Microwave,LG,2,Scrap,4.4,"Glass, Plastic, Metal",No,No,N/A,No,N/A,Medium,1088.38,0,1088.38
Washing Machine,Bosch,3,Non-Working,51.2,"Metal, Plastic",No,Yes,N/A,No,N/A,Low,11080.62,751,10329.62
Laptop,Acer,15,Scrap,21.8,"Plastic, Glass",Yes,No,Minor Scratches,No,Damaged Wires,Low,1483.28,0,1483.28
AC,Voltas,11,Non-Working,58.8,"Plastic, Glass",No,No,N/A,No,Damaged Wires,Medium,17544.48,2048,15496.48
Laptop,Apple,8,Partially Working,48.6,Plastic,Yes,Yes,No Damage,No,Slightly Worn,Medium,9987.39,107,9880.39
AC,Voltas,10,Non-Working,14.2,"Metal, Plastic",No,No,N/A,No,Slightly Worn,Low,1269.93,441,828.9300000000001
Washing Machine,LG,15,Non-Working,17.7,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Low,3359.11,3166,193.11000000000013
Washing Machine,Samsung,11,Scrap,13.7,"Glass, Plastic, Metal",No,No,N/A,No,N/A,High,2429.99,0,2429.99
TV,LG,7,Working,42.9,"Plastic, Glass",No,Yes,Minor Scratches,No,Intact,Medium,5075.18,0,5075.18
Microwave,Samsung,7,Non-Working,30.6,Plastic,No,Yes,N/A,No,N/A,Medium,2811.51,3861,0.0
Printer,Epson,3,Non-Working,50.2,"Plastic, Glass",No,No,N/A,No,Slightly Worn,Medium,11970.68,216,11754.68
Mobile,Oppo,12,Scrap,17.8,"Plastic, Glass",Yes,No,Cracked,No,N/A,Medium,949.57,0,949.57
TV,LG,11,Scrap,30.1,Metal,No,No,Minor Scratches,Yes,Intact,High,7459.59,0,7459.59
Printer,Epson,6,Non-Working,33.0,Plastic,No,No,N/A,No,Slightly Worn,Medium,7971.7,2837,5134.7
Printer,HP,3,Scrap,49.3,Plastic,No,No,N/A,No,Intact,High,5748.79,0,5748.79
AC,LG,13,Working,9.9,Plastic,No,No,N/A,No,Slightly Worn,High,685.25,0,685.25
Laptop,Dell,7,Working,23.7,"Glass, Plastic, Metal",No,No,Cracked,Yes,Intact,High,2723.48,0,2723.48
Refrigerator,Godrej,13,Working,8.4,"Plastic, Glass",No,No,N/A,No,N/A,Low,859.03,0,859.03
Refrigerator,LG,10,Scrap,4.2,Plastic,No,No,N/A,No,N/A,Medium,782.53,0,782.53
Laptop,Acer,13,Working,23.4,"Glass, Plastic, Metal",Yes,Yes,Missing Parts,No,Damaged Wires,Low,6945.77,0,6945.77
Microwave,LG,3,Non-Working,34.4,Plastic,No,No,N/A,No,N/A,Low,8921.45,2202,6719.450000000001
Microwave,Samsung,8,Partially Working,34.5,"Metal, Plastic",No,No,N/A,Yes,N/A,Low,5650.62,1411,4239.62
Mobile,Apple,10,Partially Working,51.0,Metal,Yes,No,Cracked,No,N/A,Medium,7106.05,1356,5750.05
Washing Machine,LG,2,Partially Working,53.1,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,High,10193.65,3893,6300.65
AC,Daikin,9,Scrap,46.8,"Metal, Plastic",No,Yes,N/A,No,Slightly Worn,High,3109.09,0,3109.09
AC,Voltas,11,Partially Working,1.4,Plastic,No,Yes,N/A,No,Slightly Worn,Medium,297.09,3230,0.0
TV,Panasonic,4,Partially Working,24.2,"Glass, Plastic, Metal",No,Yes,Minor Scratches,Yes,Slightly Worn,Low,1691.82,1451,240.81999999999994
Microwave,Samsung,8,Scrap,25.7,"Metal, Plastic",No,No,N/A,No,N/A,Medium,5463.12,0,5463.12
Printer,Canon,4,Partially Working,10.1,"Plastic, Glass",No,Yes,N/A,No,Damaged Wires,Medium,2732.58,581,2151.58
Mobile,Apple,2,Partially Working,20.5,Plastic,Yes,Yes,Cracked,No,N/A,High,4512.22,2424,2088.2200000000003
TV,Panasonic,1,Non-Working,36.6,Plastic,No,Yes,Minor Scratches,No,Damaged Wires,Medium,3393.33,2128,1265.33
Washing Machine,Bosch,15,Partially Working,55.9,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,Low,9029.98,2459,6570.98
TV,Panasonic,6,Non-Working,32.6,"Glass, Plastic, Metal",No,No,No Damage,No,Damaged Wires,High,4837.69,1813,3024.6899999999996
Mobile,Oppo,4,Working,38.7,Metal,No,Yes,Cracked,No,N/A,Medium,5574.67,0,5574.67
AC,Voltas,1,Scrap,49.0,Metal,No,No,N/A,No,Damaged Wires,High,7995.31,0,7995.31
Microwave,Panasonic,10,Partially Working,12.9,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Low,1291.36,445,846.3599999999999
AC,Hitachi,5,Scrap,17.9,Plastic,No,Yes,N/A,No,Intact,High,2519.85,0,2519.85
Washing Machine,Samsung,15,Non-Working,36.1,"Plastic, Glass",No,No,N/A,No,N/A,Low,5996.83,2597,3399.83
Mobile,Samsung,6,Scrap,31.0,"Glass, Plastic, Metal",No,Yes,No Damage,No,N/A,Low,7156.7,0,7156.7
Printer,Canon,8,Working,27.5,"Plastic, Glass",No,No,N/A,No,Slightly Worn,Low,1431.16,0,1431.16
Printer,Epson,15,Scrap,43.3,Plastic,No,No,N/A,No,Intact,High,5680.01,0,5680.01
Microwave,Samsung,3,Working,39.7,Metal,No,Yes,N/A,Yes,N/A,High,4307.48,0,4307.48
Refrigerator,Whirlpool,4,Non-Working,17.5,Metal,No,No,N/A,Yes,N/A,High,4841.72,1918,2923.7200000000003
Washing Machine,LG,10,Partially Working,20.2,Plastic,No,Yes,N/A,No,N/A,Low,4417.28,3561,856.2799999999997
AC,LG,15,Non-Working,35.7,"Metal, Plastic",No,No,N/A,No,Intact,High,5277.38,1255,4022.38
TV,LG,6,Partially Working,6.3,Plastic,No,Yes,No Damage,No,Damaged Wires,High,1101.61,2858,0.0
Microwave,LG,3,Non-Working,2.1,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Low,277.63,2654,0.0
Refrigerator,Godrej,5,Partially Working,26.6,"Metal, Plastic",No,No,N/A,Yes,N/A,Low,4865.65,2661,2204.6499999999996
AC,Hitachi,15,Partially Working,28.4,Metal,No,Yes,N/A,Yes,Intact,Low,1680.26,1516,164.26
TV,Panasonic,8,Scrap,58.2,Metal,No,Yes,Minor Scratches,Yes,Intact,Medium,6411.21,0,6411.21
Refrigerator,Whirlpool,15,Scrap,43.8,"Metal, Plastic",No,Yes,N/A,Yes,N/A,Medium,7627.99,0,7627.99
Mobile,Vivo,15,Non-Working,38.0,"Metal, Plastic",Yes,No,Missing Parts,Yes,N/A,Low,5848.76,2771,3077.76
Mobile,Apple,14,Scrap,2.2,Metal,Yes,Yes,Cracked,No,N/A,Medium,125.16,0,125.16
Mobile,Vivo,1,Partially Working,23.2,"Glass, Plastic, Metal",No,No,No Damage,Yes,N/A,Medium,2885.54,3539,0.0
Washing Machine,Samsung,3,Non-Working,2.8,"Metal, Plastic",No,No,N/A,Yes,N/A,Medium,361.15,2309,0.0
Washing Machine,LG,7,Scrap,45.0,"Plastic, Glass",No,Yes,N/A,No,N/A,Medium,11113.92,0,11113.92
Refrigerator,Samsung,12,Non-Working,37.6,"Plastic, Glass",No,No,N/A,No,N/A,High,2672.91,1810,862.9099999999999
Printer,Epson,11,Partially Working,16.3,Plastic,No,No,N/A,No,Intact,Low,3299.82,3383,0.0
TV,Panasonic,11,Working,4.3,Metal,No,No,No Damage,Yes,Slightly Worn,Medium,393.01,0,393.01
Washing Machine,Bosch,6,Scrap,10.0,Plastic,No,No,N/A,No,N/A,High,2973.52,0,2973.52
AC,LG,5,Working,24.9,"Plastic, Glass",No,No,N/A,No,Slightly Worn,High,5524.92,0,5524.92
Microwave,Panasonic,13,Scrap,39.0,Plastic,No,No,N/A,No,N/A,Low,7173.45,0,7173.45
AC,Daikin,10,Partially Working,47.3,"Plastic, Glass",No,No,N/A,No,Intact,Medium,11093.89,216,10877.89
Refrigerator,Whirlpool,3,Scrap,9.0,"Metal, Plastic",No,Yes,N/A,No,N/A,High,1907.44,0,1907.44
Printer,Canon,8,Non-Working,52.2,"Glass, Plastic, Metal",No,No,N/A,No,Damaged Wires,Medium,7704.98,2318,5386.98
Microwave,Panasonic,12,Working,0.8,Plastic,No,No,N/A,No,N/A,High,170.5,0,170.5
Mobile,Apple,1,Working,39.1,"Metal, Plastic",Yes,No,Minor Scratches,Yes,N/A,High,2602.82,0,2602.82
Mobile,OnePlus,6,Non-Working,42.6,"Metal, Plastic",No,No,Missing Parts,No,N/A,Low,8951.8,1024,7927.799999999999
Mobile,Samsung,1,Scrap,31.6,"Plastic, Glass",No,No,No Damage,No,N/A,High,4940.9,0,4940.9
Printer,Epson,5,Scrap,34.6,Metal,No,No,N/A,No,Damaged Wires,High,8943.97,0,8943.97
Laptop,Lenovo,5,Scrap,36.2,Plastic,No,Yes,Missing Parts,No,Slightly Worn,High,2732.08,0,2732.08
TV,Panasonic,15,Non-Working,0.8,"Glass, Plastic, Metal",No,Yes,Cracked,Yes,Damaged Wires,Low,190.55,381,0.0
Printer,HP,10,Non-Working,50.8,"Metal, Plastic",No,Yes,N/A,Yes,Slightly Worn,Low,8490.43,627,7863.43
Washing Machine,Samsung,7,Non-Working,26.4,"Glass, Plastic, Metal",No,No,N/A,No,N/A,High,4700.48,2210,2490.4799999999996
Microwave,LG,3,Scrap,39.2,"Glass, Plastic, Metal",No,Yes,N/A,No,N/A,Medium,9371.48,0,9371.48
Laptop,HP,2,Partially Working,34.5,Metal,Yes,No,No Damage,No,Damaged Wires,Low,9368.01,2149,7219.01
Printer,Canon,2,Non-Working,36.3,Plastic,No,No,N/A,No,Slightly Worn,High,7551.2,3721,3830.2
AC,Voltas,9,Non-Working,47.2,"Glass, Plastic, Metal",No,Yes,N/A,No,Slightly Worn,High,7455.65,2835,4620.65
Microwave,Samsung,7,Non-Working,52.0,"Plastic, Glass",No,No,N/A,No,N/A,High,14428.44,2815,11613.44
Laptop,Apple,5,Non-Working,30.0,Plastic,Yes,Yes,Missing Parts,No,Intact,Low,8379.78,909,7470.780000000001
Microwave,Samsung,14,Partially Working,38.4,Metal,No,No,N/A,Yes,N/A,Medium,7208.79,2071,5137.79
Washing Machine,IFB,3,Non-Working,30.6,"Plastic, Glass",No,Yes,N/A,No,N/A,Medium,8335.67,2654,5681.67
Refrigerator,Godrej,14,Working,9.2,"Metal, Plastic",No,No,N/A,No,N/A,High,2451.88,0,2451.88
Washing Machine,Samsung,3,Scrap,49.4,Metal,No,Yes,N/A,No,N/A,High,7882.2,0,7882.2
Mobile,Vivo,12,Working,53.1,Plastic,Yes,Yes,Missing Parts,No,N/A,High,13409.96,0,13409.96
Laptop,Lenovo,7,Non-Working,52.5,"Plastic, Glass",Yes,Yes,Minor Scratches,No,Slightly Worn,High,14142.49,2627,11515.49
Refrigerator,LG,8,Working,19.6,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Medium,3953.5,0,3953.5
AC,Hitachi,7,Scrap,14.2,Plastic,No,Yes,N/A,No,Slightly Worn,Low,1666.18,0,1666.18
Laptop,Lenovo,13,Partially Working,22.8,Plastic,Yes,Yes,No Damage,No,Slightly Worn,Low,3946.54,1864,2082.54
Washing Machine,Bosch,7,Working,26.2,Plastic,No,Yes,N/A,No,N/A,Medium,5292.27,0,5292.27
Laptop,HP,13,Partially Working,35.7,Plastic,Yes,No,Cracked,No,Slightly Worn,Medium,7438.06,3527,3911.0600000000004
Mobile,Samsung,8,Partially Working,42.6,Plastic,Yes,Yes,Minor Scratches,No,N/A,Low,4928.93,2016,2912.9300000000003
TV,Sony,14,Partially Working,30.1,"Metal, Plastic",No,No,Cracked,No,Intact,Medium,6787.44,2700,4087.4399999999996
Laptop,Acer,10,Non-Working,51.3,Plastic,Yes,Yes,No Damage,No,Slightly Worn,Low,4904.81,2343,2561.8100000000004
Washing Machine,Bosch,15,Scrap,38.0,Plastic,No,Yes,N/A,No,N/A,High,9669.46,0,9669.46
Laptop,HP,9,Working,11.1,"Plastic, Glass",Yes,Yes,Cracked,No,Slightly Worn,High,2581.61,0,2581.61
Washing Machine,IFB,15,Working,39.0,"Plastic, Glass",No,No,N/A,No,N/A,High,5163.96,0,5163.96
Refrigerator,Samsung,3,Scrap,45.2,"Plastic, Glass",No,No,N/A,No,N/A,Medium,11538.57,0,11538.57
Washing Machine,IFB,10,Working,2.0,Metal,No,Yes,N/A,No,N/A,Medium,124.8,0,124.8
Microwave,Panasonic,8,Working,17.2,"Metal, Plastic",No,Yes,N/A,No,N/A,Medium,1570.62,0,1570.62
Printer,HP,9,Scrap,16.1,"Metal, Plastic",No,No,N/A,No,Intact,Medium,3417.9,0,3417.9
Laptop,Apple,9,Scrap,41.5,Plastic,No,No,No Damage,No,Damaged Wires,High,7259.91,0,7259.91
Microwave,Samsung,5,Scrap,51.2,"Glass, Plastic, Metal",No,Yes,N/A,No,N/A,Low,4125.91,0,4125.91
TV,Panasonic,13,Scrap,53.3,Metal,No,No,No Damage,Yes,Slightly Worn,Low,5383.98,0,5383.98
Printer,Canon,7,Scrap,58.4,Plastic,No,No,N/A,No,Intact,Medium,12113.83,0,12113.83
Mobile,Vivo,11,Working,33.0,Plastic,No,No,Missing Parts,No,N/A,High,6190.74,0,6190.74
Laptop,Apple,2,Scrap,6.4,Metal,No,Yes,No Damage,Yes,Intact,High,365.09,0,365.09
TV,Sony,3,Scrap,39.1,Metal,No,Yes,Cracked,No,Slightly Worn,Low,9763.41,0,9763.41
TV,Samsung,14,Working,29.6,"Metal, Plastic",No,Yes,No Damage,Yes,Damaged Wires,Low,7104.5,0,7104.5
Washing Machine,Samsung,12,Working,22.4,Metal,No,No,N/A,Yes,N/A,Medium,4275.57,0,4275.57
Refrigerator,Samsung,3,Working,11.9,Plastic,No,No,N/A,No,N/A,High,1011.11,0,1011.11
Laptop,Acer,2,Non-Working,34.1,"Metal, Plastic",Yes,Yes,Cracked,No,Slightly Worn,Medium,6463.56,3432,3031.5600000000004
Refrigerator,Whirlpool,11,Working,14.0,"Plastic, Glass",No,No,N/A,No,N/A,Low,953.65,0,953.65
TV,Panasonic,1,Scrap,7.9,Metal,No,No,Missing Parts,No,Intact,High,987.81,0,987.81
TV,LG,15,Non-Working,40.0,"Glass, Plastic, Metal",No,No,Missing Parts,No,Slightly Worn,Low,7344.08,2356,4988.08
Microwave,LG,3,Non-Working,50.7,"Metal, Plastic",No,No,N/A,No,N/A,High,12247.44,2532,9715.44
AC,Daikin,15,Partially Working,27.1,Plastic,No,No,N/A,No,Intact,Medium,3193.43,3056,137.42999999999984
Washing Machine,Bosch,12,Partially Working,22.8,"Plastic, Glass",No,No,N/A,No,N/A,High,1861.92,3567,0.0
Microwave,Panasonic,2,Partially Working,25.9,Plastic,No,Yes,N/A,No,N/A,Medium,5767.68,1679,4088.6800000000003
Laptop,Dell,3,Non-Working,35.6,Metal,No,No,No Damage,Yes,Damaged Wires,High,8637.03,105,8532.03
AC,Daikin,4,Working,28.6,Plastic,No,Yes,N/A,No,Slightly Worn,Medium,2526.5,0,2526.5
Washing Machine,Samsung,13,Working,18.2,"Metal, Plastic",No,Yes,N/A,No,N/A,Low,5361.83,0,5361.83
Washing Machine,IFB,12,Scrap,19.0,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,High,5690.43,0,5690.43
Microwave,Samsung,6,Non-Working,3.3,"Metal, Plastic",No,No,N/A,No,N/A,Low,562.95,435,127.95000000000005
AC,Voltas,15,Non-Working,27.6,Plastic,No,Yes,N/A,No,Damaged Wires,Low,1513.69,3483,0.0
Washing Machine,Samsung,6,Scrap,16.3,"Glass, Plastic, Metal",No,Yes,N/A,No,N/A,Low,2878.86,0,2878.86
Refrigerator,Samsung,1,Working,13.7,"Metal, Plastic",No,No,N/A,No,N/A,Low,875.21,0,875.21
Printer,HP,2,Working,49.7,Plastic,No,Yes,N/A,No,Damaged Wires,High,5081.78,0,5081.78
AC,Hitachi,15,Scrap,6.0,"Metal, Plastic",No,Yes,N/A,No,Slightly Worn,Low,882.15,0,882.15
Laptop,Lenovo,14,Working,57.1,Plastic,No,No,Cracked,No,Slightly Worn,High,17036.89,0,17036.89
Washing Machine,Samsung,10,Non-Working,21.1,Metal,No,Yes,N/A,No,N/A,Low,3056.79,830,2226.79
TV,LG,11,Working,3.2,"Plastic, Glass",No,No,Cracked,No,Damaged Wires,Medium,187.48,0,187.48
Mobile,Samsung,9,Non-Working,10.4,"Metal, Plastic",Yes,No,Cracked,No,N/A,High,2049.08,2999,0.0
Printer,Canon,9,Working,40.4,Plastic,No,Yes,N/A,No,Slightly Worn,Medium,9895.21,0,9895.21
TV,Panasonic,13,Working,46.9,Plastic,No,Yes,Cracked,No,Slightly Worn,High,5486.9,0,5486.9
Microwave,Panasonic,1,Partially Working,56.4,"Metal, Plastic",No,Yes,N/A,Yes,N/A,Medium,4791.53,3392,1399.5299999999997
Mobile,Samsung,11,Non-Working,23.2,Metal,Yes,Yes,Minor Scratches,No,N/A,Medium,1881.13,3866,0.0
Refrigerator,Samsung,4,Partially Working,35.0,Metal,No,Yes,N/A,Yes,N/A,High,5553.5,2070,3483.5
AC,Daikin,6,Non-Working,45.9,"Plastic, Glass",No,Yes,N/A,No,Intact,High,11121.43,2926,8195.43
Mobile,OnePlus,9,Partially Working,36.1,"Glass, Plastic, Metal",Yes,Yes,No Damage,No,N/A,High,9202.89,3812,5390.889999999999
AC,Hitachi,11,Partially Working,18.7,"Metal, Plastic",No,Yes,N/A,Yes,Intact,High,1799.51,3906,0.0
Microwave,LG,14,Partially Working,6.0,"Metal, Plastic",No,No,N/A,No,N/A,Low,1184.1,3863,0.0
Refrigerator,Whirlpool,1,Non-Working,25.6,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Low,1943.75,3022,0.0
Microwave,LG,11,Scrap,54.8,"Glass, Plastic, Metal",No,Yes,N/A,No,N/A,Low,12600.09,0,12600.09
Refrigerator,LG,12,Scrap,26.4,"Plastic, Glass",No,Yes,N/A,No,N/A,High,7842.94,0,7842.94
TV,Panasonic,5,Partially Working,40.5,"Metal, Plastic",No,No,Cracked,No,Slightly Worn,Low,6449.81,2779,3670.8100000000004
Refrigerator,Godrej,6,Partially Working,27.3,"Plastic, Glass",No,Yes,N/A,No,N/A,Medium,5400.8,810,4590.8
Printer,Epson,14,Partially Working,33.4,"Plastic, Glass",No,Yes,N/A,No,Intact,Low,6084.22,2358,3726.2200000000003
Printer,HP,7,Scrap,10.0,"Glass, Plastic, Metal",No,Yes,N/A,Yes,Slightly Worn,Medium,2839.85,0,2839.85
Microwave,LG,8,Working,36.1,Metal,No,Yes,N/A,No,N/A,Low,6005.27,0,6005.27
Laptop,Dell,13,Non-Working,24.7,"Plastic, Glass",No,No,Minor Scratches,No,Intact,Low,6361.39,116,6245.39
Washing Machine,IFB,6,Scrap,30.2,Plastic,No,No,N/A,No,N/A,High,6075.63,0,6075.63
TV,LG,14,Non-Working,15.8,Plastic,No,No,No Damage,No,Intact,Low,4599.36,1877,2722.3599999999997
AC,Voltas,5,Non-Working,10.8,"Plastic, Glass",No,Yes,N/A,No,Intact,High,1308.72,3485,0.0
Refrigerator,Whirlpool,15,Non-Working,13.6,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,High,3787.36,2907,880.3600000000001
AC,LG,5,Scrap,37.6,"Metal, Plastic",No,Yes,N/A,No,Slightly Worn,Medium,9046.72,0,9046.72
Washing Machine,Samsung,12,Working,5.1,Plastic,No,No,N/A,No,N/A,Medium,775.94,0,775.94
Refrigerator,Whirlpool,7,Partially Working,27.3,"Metal, Plastic",No,Yes,N/A,Yes,N/A,Low,7217.53,322,6895.53
Microwave,Samsung,6,Working,4.5,"Plastic, Glass",No,No,N/A,No,N/A,High,569.81,0,569.81
Laptop,Dell,14,Partially Working,29.4,"Metal, Plastic",Yes,Yes,Cracked,Yes,Slightly Worn,High,3200.81,1600,1600.81
AC,Voltas,6,Partially Working,15.7,"Plastic, Glass",No,Yes,N/A,No,Slightly Worn,Medium,1968.25,1334,634.25
TV,LG,9,Partially Working,26.1,Plastic,No,Yes,Missing Parts,No,Damaged Wires,Low,7167.43,3619,3548.4300000000003
AC,Hitachi,9,Partially Working,51.4,Metal,No,No,N/A,Yes,Slightly Worn,High,7067.95,1943,5124.95
Microwave,Panasonic,2,Partially Working,59.2,Metal,No,No,N/A,Yes,N/A,Medium,9021.82,769,8252.82
AC,Daikin,1,Scrap,58.5,Metal,No,Yes,N/A,Yes,Intact,High,9650.31,0,9650.31
Mobile,Samsung,5,Partially Working,55.5,Plastic,Yes,Yes,No Damage,No,N/A,Low,15922.53,3431,12491.53
AC,LG,9,Scrap,53.7,"Plastic, Glass",No,No,N/A,No,Slightly Worn,High,9454.07,0,9454.07
Washing Machine,IFB,1,Scrap,38.5,"Plastic, Glass",No,No,N/A,No,N/A,High,4369.43,0,4369.43
Washing Machine,LG,7,Scrap,29.1,Plastic,No,No,N/A,No,N/A,Low,6098.71,0,6098.71
Washing Machine,IFB,9,Non-Working,24.3,Plastic,No,No,N/A,No,N/A,Medium,4026.52,2068,1958.52
AC,Voltas,5,Non-Working,3.9,Plastic,No,No,N/A,No,Damaged Wires,Low,688.12,1674,0.0
Refrigerator,LG,12,Scrap,50.3,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,High,6733.19,0,6733.19
Microwave,Samsung,15,Working,31.7,"Glass, Plastic, Metal",No,Yes,N/A,No,N/A,Medium,3303.59,0,3303.59
AC,Hitachi,7,Non-Working,44.5,Plastic,No,Yes,N/A,No,Damaged Wires,Medium,7751.63,1797,5954.63
AC,LG,4,Scrap,18.8,Metal,No,Yes,N/A,No,Intact,Medium,5299.86,0,5299.86
Printer,Epson,8,Non-Working,49.0,Plastic,No,Yes,N/A,No,Damaged Wires,Low,13259.18,841,12418.18
Printer,Canon,13,Working,3.5,"Plastic, Glass",No,Yes,N/A,No,Slightly Worn,Low,399.84,0,399.84
Refrigerator,Godrej,1,Scrap,10.4,Plastic,No,Yes,N/A,No,N/A,High,1094.74,0,1094.74
Refrigerator,Samsung,5,Scrap,18.2,"Metal, Plastic",No,Yes,N/A,Yes,N/A,Medium,1200.12,0,1200.12
